event_id,delay_days,final_reward
0,14,0
1,4,0
2,6,0
5,10,0
6,13,1
8,3,0
10,11,0
13,3,0
14,6,0
16,4,0
17,2,0
18,14,0
19,5,0
20,3,0
21,12,0
23,11,0
27,11,0
28,11,1
29,13,0
30,10,0
33,1,0
35,11,0
36,5,0
37,1,1
39,4,0
41,6,0
43,12,0
44,4,0
45,10,1
49,8,0
51,5,0
52,1,0
53,14,0
54,2,0
58,8,0
63,10,0
64,13,0
65,11,0
67,9,0
69,11,0
70,10,0
71,7,0
80,4,0
81,1,0
83,5,1
84,3,0
85,14,0
87,14,0
88,1,1
90,9,0
93,2,0
94,14,0
95,12,0
96,13,0
98,2,0
99,5,0
100,7,0
102,11,0
103,4,0
108,5,0
109,4,0
112,5,0
114,4,0
116,7,0
119,7,1
120,12,0
122,8,0
123,12,0
125,4,0
126,1,0
128,1,0
129,4,1
130,7,0
132,10,0
133,4,0
134,3,0
138,3,0
139,11,1
140,9,0
141,7,0
142,2,0
144,2,0
145,3,0
148,12,0
149,11,0
151,13,0
156,9,1
157,9,0
159,2,0
160,3,0
161,4,0
163,6,0
164,7,0
165,14,0
166,6,0
169,11,0
170,1,0
173,6,0
176,5,0
181,4,0
183,8,0
186,5,0
188,6,1
189,3,0
191,1,0
194,12,0
195,13,0
196,6,0
198,1,0
199,11,0
201,8,0
202,4,0
203,2,0
209,6,0
210,1,0
212,3,0
213,5,0
214,7,0
216,4,0
218,13,0
220,11,0
221,11,0
222,4,0
223,14,0
225,14,0
226,6,0
227,12,0
228,11,0
231,9,1
232,14,0
233,5,0
234,8,0
236,4,0
240,11,0
243,5,0
246,7,0
248,6,0
249,4,0
252,8,0
253,2,0
254,5,0
257,2,0
258,10,0
263,3,0
264,7,0
266,9,0
267,7,0
268,12,0
269,7,0
270,3,0
272,3,0
273,9,0
274,11,1
275,12,0
276,9,0
277,5,0
278,14,0
280,7,0
281,14,0
283,8,0
293,6,0
294,6,0
295,9,0
297,4,0
298,9,0
302,8,0
303,3,0
313,9,0
316,14,1
320,10,0
321,9,0
322,4,0
323,2,0
324,6,0
330,4,0
332,8,0
333,4,0
336,6,0
337,2,0
339,2,0
341,8,0
344,2,0
345,5,0
349,6,0
350,3,0
355,9,0
356,6,0
357,7,0
358,8,0
359,8,0
360,4,0
361,14,0
365,12,0
369,9,0
373,12,0
375,9,0
377,13,0
379,11,0
380,13,0
384,13,0
385,10,0
388,8,0
391,4,0
394,3,0
398,11,0
399,12,0
401,12,0
402,1,0
403,4,0
408,2,0
410,2,0
411,13,0
413,4,0
414,14,0
416,11,0
417,7,0
419,10,0
420,1,0
421,6,0
423,14,0
425,5,0
428,8,0
432,13,0
434,7,0
435,7,0
436,9,0
437,1,0
439,1,0
440,5,0
446,7,1
447,10,0
448,5,0
450,11,0
451,1,0
453,10,0
457,10,0
461,5,0
462,14,0
465,2,0
466,3,0
469,6,1
470,1,0
471,12,1
472,11,0
473,12,0
474,9,0
476,11,0
477,6,0
478,2,0
479,5,0
480,12,0
485,7,0
487,10,0
488,3,0
490,14,0
492,8,0
494,12,0
495,5,0
496,11,0
498,10,1
501,2,0
502,3,0
504,7,1
505,7,0
507,13,0
509,6,0
510,11,0
513,2,0
514,1,0
515,10,0
516,9,0
518,7,0
519,1,0
523,13,0
524,6,1
525,9,0
528,5,0
529,2,0
530,9,0
531,2,0
533,8,0
535,7,0
537,4,0
538,2,0
539,11,1
541,5,0
542,12,0
543,10,0
547,12,0
548,6,0
550,5,0
552,6,0
554,1,0
557,2,0
563,13,1
565,8,0
566,10,0
570,10,0
571,12,0
572,4,0
573,6,0
575,14,0
577,12,0
580,12,0
582,4,0
584,6,1
587,11,0
588,9,0
591,10,0
593,6,0
596,6,0
597,5,1
599,12,0
601,2,1
604,6,0
608,13,0
609,8,0
612,13,1
613,7,0
616,13,0
619,9,0
622,6,0
623,8,0
624,4,0
631,2,0
635,2,0
637,4,0
639,10,0
646,8,0
647,12,0
649,12,0
650,3,0
651,4,0
652,9,0
657,8,0
658,11,0
660,13,0
662,11,0
666,3,0
669,6,0
670,7,0
671,9,1
672,14,0
677,8,0
678,11,0
681,6,1
682,10,0
686,13,0
687,8,0
688,1,0
691,11,0
696,8,0
698,6,0
702,8,0
705,1,0
706,13,0
707,6,0
710,5,0
711,13,0
712,14,0
714,1,0
716,13,1
717,13,0
718,1,0
723,6,0
724,9,0
727,1,0
728,13,0
730,6,0
731,11,0
732,10,0
735,14,0
736,3,0
738,4,0
740,13,0
742,14,0
743,13,0
744,6,1
746,6,0
748,14,0
749,9,0
751,12,0
752,9,0
754,5,0
755,8,0
757,10,0
758,7,0
760,10,1
761,5,0
763,2,0
765,3,0
767,6,0
771,6,0
773,8,0
774,9,0
777,1,0
778,5,0
781,13,0
782,7,0
783,14,0
785,4,0
787,4,0
791,14,0
793,4,0
794,11,0
796,13,0
797,12,0
800,4,0
801,8,0
802,1,0
804,3,0
805,10,0
809,3,0
810,3,0
811,9,0
812,7,0
815,3,0
816,12,0
817,5,0
819,2,0
821,2,0
822,7,0
824,6,1
825,8,0
826,14,0
831,5,0
832,9,0
835,2,0
836,11,0
837,14,0
840,3,0
841,3,0
843,2,0
845,8,1
848,14,0
851,11,0
853,2,1
856,4,1
857,13,0
860,11,0
861,8,0
862,1,0
