event_id,client_context_id,arm_id,channel,logging_policy,intermediate_reward
0,0,cdb_24m,call,random_uniform_v0,1
1,1,cdb_12m,email,random_uniform_v0,1
2,2,taxa_promocional,sms,random_uniform_v0,1
3,3,poupanca_programada,sms,random_uniform_v0,0
4,4,taxa_promocional,sms,random_uniform_v0,0
5,5,taxa_promocional,sms,random_uniform_v0,1
6,6,taxa_promocional,sms,random_uniform_v0,1
7,7,reserva_emergencia,push,random_uniform_v0,0
8,8,poupanca_programada,sms,random_uniform_v0,1
9,9,poupanca_programada,sms,random_uniform_v0,0
10,10,poupanca_programada,sms,random_uniform_v0,1
11,11,fundo_liquidez_diaria,email,random_uniform_v0,0
12,12,cdb_12m,email,random_uniform_v0,0
13,13,taxa_promocional,sms,random_uniform_v0,1
14,14,cdb_24m,call,random_uniform_v0,1
15,15,poupanca_programada,sms,random_uniform_v0,0
16,16,taxa_promocional,sms,random_uniform_v0,1
17,17,fundo_liquidez_diaria,email,random_uniform_v0,1
18,18,cdb_24m,call,random_uniform_v0,1
19,19,reserva_emergencia,push,random_uniform_v0,1
20,20,taxa_promocional,sms,random_uniform_v0,1
21,21,fundo_liquidez_diaria,email,random_uniform_v0,1
22,22,fundo_liquidez_diaria,email,random_uniform_v0,0
23,23,cdb_24m,call,random_uniform_v0,1
24,24,taxa_promocional,sms,random_uniform_v0,0
25,25,cdb_12m,email,random_uniform_v0,0
26,26,cdb_12m,email,random_uniform_v0,0
27,27,fundo_liquidez_diaria,email,random_uniform_v0,1
28,28,taxa_promocional,sms,random_uniform_v0,1
29,29,cdb_24m,call,random_uniform_v0,1
30,30,cdb_12m,email,random_uniform_v0,1
31,31,fundo_liquidez_diaria,email,random_uniform_v0,0
32,32,reserva_emergencia,push,random_uniform_v0,0
33,33,fundo_liquidez_diaria,email,random_uniform_v0,1
34,34,reserva_emergencia,push,random_uniform_v0,0
35,35,reserva_emergencia,push,random_uniform_v0,1
36,36,taxa_promocional,sms,random_uniform_v0,1
37,37,poupanca_programada,sms,random_uniform_v0,1
38,38,cdb_24m,call,random_uniform_v0,0
39,39,cdb_24m,call,random_uniform_v0,1
40,40,cdb_12m,email,random_uniform_v0,0
41,41,taxa_promocional,sms,random_uniform_v0,1
42,42,fundo_liquidez_diaria,email,random_uniform_v0,0
